## begin version 0.98 source file header             
## generated at 38## from output of MCNPX case mctal, described as:   
## mcnpx      2.6.0  10/03/15 17:46:06  501  100000000 10247749551555
## SNS-STS-ROT1 cylindrical para hydrogen moderator                                      
## Pulse shapes are as calculated with current tally for moderator
## 
## headerend
##
## section 1 key
## output reported is for 3x3 cm2 viewed area.       
## normalized to  1.6006e+14 p/pulse and  1.300 GeV (333kW@10Hz)
## Energy given is center of the bin in a logarithmic
## sense, and wavelength is for that energy.         
## There are 141 points.
## 
##  Energy     Wavelength      Flux      Std. Error   Flux         Std. Error  
##    E             l          f(E)      s(E)         f(l)         s(l)
##    eV        Angstroms      n/sr/pulse/eV          n/sr/pulse/A  
###
  2.6607e-03   5.5445e+00   3.3472e+14   1.8468e+11   3.2126e+11   1.7725e+08
  2.9854e-03   5.2344e+00   3.4251e+14   1.7741e+11   3.9069e+11   2.0237e+08
  3.3497e-03   4.9416e+00   3.4889e+14   1.7147e+11   4.7299e+11   2.3246e+08
  3.7584e-03   4.6652e+00   3.5084e+14   1.7972e+11   5.6529e+11   2.8957e+08
  4.2170e-03   4.4042e+00   3.5005e+14   1.6200e+11   6.7033e+11   3.1023e+08
  4.7315e-03   4.1578e+00   3.5248e+14   1.5545e+11   8.0222e+11   3.5381e+08
  5.3088e-03   3.9252e+00   3.5035e+14   1.4788e+11   9.4769e+11   4.0001e+08
  5.9566e-03   3.7057e+00   3.4841e+14   1.4194e+11   1.1201e+12   4.5632e+08
  6.6834e-03   3.4984e+00   3.4222e+14   1.3366e+11   1.3076e+12   5.1068e+08
  7.4989e-03   3.3027e+00   3.3173e+14   1.2800e+11   1.5064e+12   5.8128e+08
  8.4140e-03   3.1179e+00   3.1942e+14   1.2153e+11   1.7240e+12   6.5591e+08
  9.4406e-03   2.9435e+00   3.0567e+14   1.1453e+11   1.9608e+12   7.3468e+08
  1.0593e-02   2.7789e+00   2.8726e+14   1.1250e+11   2.1900e+12   8.5768e+08
  1.1885e-02   2.6234e+00   2.6666e+14   9.8915e+10   2.4162e+12   8.9625e+08
  1.3335e-02   2.4767e+00   2.3579e+14   9.4873e+10   2.5392e+12   1.0217e+09
  1.4962e-02   2.3381e+00   1.8126e+14   7.2131e+10   2.3199e+12   9.2318e+08
  1.6788e-02   2.2073e+00   1.2594e+14   5.5281e+10   1.9157e+12   8.4089e+08
  1.8836e-02   2.0838e+00   9.0791e+13   4.4504e+10   1.6414e+12   8.0457e+08
  2.1135e-02   1.9673e+00   6.6364e+13   3.6920e+10   1.4259e+12   7.9328e+08
  2.3714e-02   1.8572e+00   4.6651e+13   3.0533e+10   1.1913e+12   7.7970e+08
  2.6607e-02   1.7533e+00   3.3617e+13   2.4739e+10   1.0203e+12   7.5085e+08
  2.9854e-02   1.6553e+00   2.4687e+13   2.0731e+10   8.9050e+11   7.4779e+08
  3.3497e-02   1.5627e+00   1.8369e+13   1.7683e+10   7.8749e+11   7.5808e+08
  3.7584e-02   1.4753e+00   1.3936e+13   1.4992e+10   7.1006e+11   7.6386e+08
  4.2170e-02   1.3927e+00   1.0832e+13   1.3013e+10   6.5596e+11   7.8805e+08
  4.7315e-02   1.3148e+00   8.4324e+12   1.1096e+10   6.0690e+11   7.9857e+08
  5.3088e-02   1.2413e+00   6.7668e+12   9.6513e+09   5.7882e+11   8.2556e+08
  5.9566e-02   1.1718e+00   5.4867e+12   8.8850e+09   5.5780e+11   9.0328e+08
  6.6834e-02   1.1063e+00   4.5037e+12   7.5812e+09   5.4416e+11   9.1601e+08
  7.4989e-02   1.0444e+00   3.7502e+12   6.6856e+09   5.3854e+11   9.6007e+08
  8.4140e-02   9.8598e-01   3.1434e+12   6.1631e+09   5.3650e+11   1.0519e+09
